iter	Passed	Remaining
0	4	430
1	8	421
2	12	411
3	18	442
4	22	425
5	26	415
6	31	418
7	35	412
8	39	402
9	44	401
10	50	407
11	54	400
12	59	397
13	63	388
14	67	381
15	71	377
16	78	381
17	82	374
18	86	369
19	91	364
20	94	356
21	98	350
22	104	350
23	109	345
24	113	339
25	117	333
26	121	327
27	124	320
28	127	311
29	130	304
30	133	297
31	136	289
32	138	280
33	140	272
34	142	263
35	143	255
36	145	248
37	147	240
38	149	233
39	150	225
40	151	218
41	152	210
42	153	203
43	154	197
44	156	191
45	157	184
46	158	178
47	159	172
48	160	167
49	161	161
50	163	156
51	164	152
52	165	146
53	166	141
54	167	136
55	168	132
56	168	127
57	169	122
58	170	118
59	172	114
60	173	110
61	174	106
62	174	102
63	175	98
64	176	95
65	177	91
66	178	87
67	179	84
68	180	81
69	181	77
70	182	74
71	182	71
72	183	67
73	184	64
74	185	61
75	186	58
76	187	55
77	188	53
78	188	50
79	189	47
80	190	44
81	191	41
82	192	39
83	192	36
84	193	34
85	194	31
86	195	29
87	195	26
88	196	24
89	197	21
90	198	19
91	199	17
92	200	15
93	201	12
94	202	10
95	202	8
96	203	6
97	204	4
98	205	2
99	205	0
